url,uri,os_family
msftconnecttest.com,/connecttest.txt,windows
msftncsi.com,/ncsi.txt,windows
dns.msftnsci.com,*,windows
vortex-win.data.microsoft.com,*,windows
tile-service.weather.microsoft.com,*,windows
smartscreen.microsoft.com,*,windows
update.microsoft.com,*,windows
download.windowsupdate.com,*,windows
wns.windows.com,*,windows
notify.windows.com,*,windows
watson.telemetry.microsoft.com,*,windows
umwatsonc.events.data.microsoft.com,*,windows
ceuswatcab01.blob.core.windows.net,*,windows
ceuswatcab02.blob.core.windows.net,*,windows
eaus2watcab01.blob.core.windows.net,*,windows
eaus2watcab02.blob.core.windows.net,*,windows
weus2watcab01.blob.core.windows.net,*,windows
weus2watcab02.blob.core.windows.net,*,windows
oca.telemetry.microsoft.com,*,windows
oca.microsoft.com,*,windows
kmwatsonc.events.data.microsoft.com,*,windows
evoke-windowsservices-tas.msedge.net,*,windows
ctldl.windowsupdate.com,*,windows
dmd.metaservices.microsoft.com,*,windows
licensing.mp.microsoft.com,*,windows
msedge.api.cdp.microsoft.com,*,windows
displaycatalog.mp.microsoft.com,*,windows
storecatalogrevocation.storequality.microsoft.com,*,windows
manage.devcenter.microsoft.com,*,windows
checkappexec.microsoft.com,*,windows
emdl.ws.microsoft.com,*,windows
tsfe.trafficshaping.dsp.mp.microsoft.com,*,windows
ntp.msn.com,*,windows
tlu.dl.delivery.mp.microsoft.com,*,windows
apple.com,/library/test/success.html,macos
captive.apple.com,/hotspot-detect.html,macos
inappcheck.itunes.apple.com,*,iOS
configuration.ls.apple.com,*,macos
smp-device-content.apple.com,*,macos
api.apple-cloudkit.com,*,macos
query.ess.apple.com,*,macos
init.push.apple.com,*,macos
fbs.smoot.apple.com,*,macos
api.smoot.apple.com,*,macos
swallow.apple.com,*,macos
doh.dns.apple.com,*,macos
pancake.apple.com,*,macos
albert.apple.com,*,macos
gs.apple.com,*,macos
humb.apple.com,*,macos
static.ips.apple.com,*,macos
sq-device.apple.com,*,macos
tbsc.apple.com,*,macos
deviceservices-external.apple.com,*,macos
gdmf.apple.com,*,macos
identity.apple.com,*,macos
iprofiles.apple.com,*,macos
mdmenrollment.apple.com,*,macos
axm-adm-enroll.apple.com,*,macos
axm-adm-mdm.apple.com,*,macos
axm-adm-scep.apple.com,*,macos
axm-app.apple.com,*,macos
appldnld.apple.com,*,macos
gdmf.apple.com,*,macos
gg.apple.com,*,macos
gnf-mdn.apple.com,*,macos
gnf-mr.apple.com,*,macos
gs.apple.com,*,macos
ig.apple.com,*,macos
mesu.apple.com,*,macos
oscdn.apple.com,*,macos
osrecovery.apple.com,*,macos
skl.apple.com,*,macos
swcdn.apple.com,*,macos
swdist.apple.com,*,macos
swdownload.apple.com,*,macos
swscan.apple.com,*,macos
updates-http.cdn-apple.com,*,macos
updates.cdn-apple.com,*,macos
xp.apple.com,*,macos
ppq.apple.com,*,macos
appldnld.apple.com,*,macos
appldnld.apple.com.edgesuite.net,*,macos
updates-http.cdn-apple.com,*,macos
updates.cdn-apple.com,*,macos
lcdn-registration.apple.com,*,macos
suconfig.apple.com,*,macos
xp-cdn.apple.com,*,macos
lcdn-locator.apple.com,*,macos
serverstatus.apple.com,*,macos
bpapi.apple.com,*,tvOS
cssubmissions.apple.com,*,macos
fba.apple.com,*,macos
diagassets.apple.com,*,macos
idmsa.apple.com,*,macos
gsa.apple.com,*,macos
audiocontentdownload.apple.com,*,macos
devimages-cdn.apple.com,*,macos
playgrounds-assets-cdn.apple.com,*,macos
playgrounds-cdn.apple.com,*,macos
sylvan.apple.com,*,macos
certs.apple.com,*,macos
crl.apple.com,*,macos
us.archive.ubuntu.com,*,ubuntu
security.ubuntu.com,/ubuntu,ubuntu
artifacts.elastic.co,/packages,ubuntu
connectivity-check.ubuntu.com,/,ubuntu
ntp.ubuntu.com,*,ubuntu
daisy.ubuntu.com,*,ubuntu
ping.manjaro.org,/check_network_status.txt,manjaro
conncheck.opensuse.org,/,opensuse
network-test.debian.org,*,debian
static.debian.org,*,debian
villa.debian.org,*,debian
ping.archlinux.org,/nm-check.txt,archlinux
sdkconfig.ad.xiaomi.com,*,android
connectivitycheck.android.com,*,android
connect.intl.rom.miui.com,*,android
a.stat.xiaomi.com,*,android
abtest.mistat.intl.xiaomi.com,*,android
abtest.mistat.xiaomi.com,*,android
ad.mi.com,*,android
ad.xiaomi.com,*,android
ad1.xiaomi.com,*,android
adv.sec.miui.com,*,android
api.account.xiaomi.com,*,android
api.ad.xiaomi.com,*,android
api.admob.xiaomi.com,*,android
api.chat.xiaomi.net,*,android
api.comm.miui.com,*,android
api.d.xiaomi.com,*,android
api.device.xiaomi.net,*,android
api.io.mi.com,*,android
api.micloud.xiaomi.net,*,android
api.miui.security.xiaomi.com,*,android
api.sec.miui.com,*,android
api.vip.miui.com,*,android
api.xiaomi.com,*,android
api.xmpush.xiaomi.com,*,android
app.chat.xiaomi.net,*,android
app.migc.xiaomi.com,*,android
appstore.cdn.pandora.xiaomi.com,*,android
appstore.pandora.xiaomi.com,*,android
assistant.pandora.xiaomi.com,*,android
authbe.sec.miui.com,*,android
awsusor0-cdn.fds-ssl.api.xiaomi.com,*,android
b.netcheck.gallery.pandora.xiaomi.com,*,android
bbs.game.xiaomi.com,*,android
be01.hh.xiaomi.com,*,android
bgp.fe01.c3.xiaomi.com,*,android
bk01.hh.xiaomi.com,*,android
blog.xiaomi.com,*,android
bss.pandora.xiaomi.com,*,android
c.id.mi.com,*,android
cc.sys.intl.xiaomi.com,*,android
cc.sys.miui.com,*,android
ccc.sys.intl.xiaomi.com,*,android
ccc.sys.miui.com,*,android
cdn.ad.xiaomi.com,*,android
cdn.fds-ssl.api.xiaomi.com,*,android
clock.ad.xiaomi.com,*,android
cnc.fe01.lg.xiaomi.com,*,android
connect.rom.miui.com,*,android
contactapi.micloud.xiaomi.net,*,android
ctc.fe01.c3.xiaomi.com,*,android
ctc.fe02.c3.xiaomi.com,*,android
d.xiaomi.com,*,android
data.game.xiaomi.com,*,android
data.mistat.intl.xiaomi.com,*,android
data.mistat.xiaomi.com,*,android
data.sec.miui.com,*,android
data.sec.intl.miui.com,*,android
de.pandora.xiaomi.com,*,android
dvb.pandora.xiaomi.com,*,android
e.ad.xiaomi.com,*,android
f1.g.mi.com,*,android
fcanr.tracking.miui.com,*,android
fe02.lg.xiaomi.com,*,android
fe05.lg.xiaomi.com,*,android
file.market.xiaomi.com,*,android
file.xmpush.xiaomi.com,*,android
gallery.cdn.pandora.xiaomi.com,*,android
gallery.pandora.xiaomi.com,*,android
geofence.sys.miui.com,*,android
global.search.xiaomi.net,*,android
globalapi.ad.xiaomi.com,*,android
hd.xiaomi.com,*,android
hd02.lg.xiaomi.com,*,android
heyue.xiaomi.com,*,android
hk.mibi.xiaomi.com,*,android
huodong.xiaomi.com,*,android
huosai.xiaomi.com,*,android
i.xiaomi.com,*,android
igame.xiaomi.com,*,android
image.pandora.xiaomi.com,*,android
ime.api.xiaomi.com,*,android
iosdl.game.xiaomi.com,*,android
jellyfish.pandora.xiaomi.com,*,android
jupiter.intl.sys.miui.com,*,android
lbs.pandora.xiaomi.com,*,android
lg-bgp.pandora.xiaomi.com,*,android
login.game.xiaomi.com,*,android
logupdate.avlyun.sec.miui.com,*,android
m.bss.pandora.xiaomi.com,*,android
mazu.sec.miui.com,*,android
meihua.xiaomi.com,*,android
metok.sys.miui.com,*,android
mibi.api.xiaomi.com,*,android
mibi.xiaomi.com,*,android
micardapi.micloud.xiaomi.net,*,android
milink.pandora.xiaomi.com,*,android
mis.migc.xiaomi.com,*,android
mishop.cdn.pandora.xiaomi.com,*,android
mishop.pandora.xiaomi.com,*,android
mitunes.game.xiaomi.com,*,android
mp.huangye.miui.com,*,android
new.api.ad.xiaomi.com,*,android
notice.game.xiaomi.com,*,android
o2o.api.xiaomi.com,*,android
order.music.xiaomi.com,*,android
pdc.micloud.xiaomi.net,*,android
phonecallapi.micloud.xiaomi.net,*,android
pmall.migc.xiaomi.com,*,android
ppurifier.game.xiaomi.com,*,android
ptmi.gitv.pandora.xiaomi.com,*,android
qiye.xiaomi.com,*,android
r.browser.miui.com,*,android
r.sg.sec.miui.com,*,android
register.xmpush.xiaomi.com,*,android
resolver.gslb.mi-idc.com,*,android
resolver.msg.xiaomi.net,*,android
sandbox.xmpush.xiaomi.com,*,android
sdkconfig.ad.intl.xiaomi.com,*,android
sdkconfig.ad.xiaomi.com,*,android
secode2.hd.xiaomi.com,*,android
sfsapi.micloud.xiaomi.net,*,android
sgpac.account.xiaomi.com,*,android
shenghuo.xiaomi.com,*,android
shoes.app-xae.xiaomi.com,*,android
ssp.ad.xiaomi.com,*,android
staging.ai.api.xiaomi.com,*,android
starfish.pandora.xiaomi.com,*,android
stat.pandora.xiaomi.com,*,android
static.game.xiaomi.com,*,android
static.mibi.xiaomi.com,*,android
statusapi.micloud.xiaomi.net,*,android
storeconfig.mistat.intl.xiaomi.com,*,android
t1.g.mi.com,*,android
tc.hd.xiaomi.com,*,android
tel.fe01.hh.xiaomi.com,*,android
test.ad.xiaomi.com,*,android
test.e.ad.xiaomi.com,*,android
test.new.api.ad.xiaomi.com,*,android
tracking.miui.com,*,android
tracking.rus.miui.com,*,android
trial.api.huangye.miui.com,*,android
tv.app.migc.xiaomi.com,*,android
update.avlyun.sec.miui.com,*,android
update.miui.com,*,android
upgrade.mishop.pandora.xiaomi.com,*,android
userid.xiaomi.com,*,android
voip.game.xiaomi.com,*,android
wallpaper.cdn.pandora.xiaomi.com,*,android
wallpaper.pandora.xiaomi.com,*,android
wap.game.xiaomi.com,*,android
weather.pandora.xiaomi.com,*,android
xiazai.xiaomi.com,*,android
xitong.xiaomi.com,*,android
xlmc.sec.miui.com,*,android
xshare.api.xiaomi.com,*,android
zeus.ad.intl.xiaomi.com,*,android
zx.game.xiaomi.com,*,android
stat.xiaomi.com,*,android
update.intl.miui.com,*,android
ccc.sys.intl.miui.com,*,android
connect.rom.miui.com,*,android
sdkconfig.ad.xiaomi.com,*,android
sdkconfig.ad.intl.xiaomi.com,*,android
api.sec.intl.miui.com,*,android
api.setting.intl.miui.com,*,android
auth.be.sec.miui.com,*,android
auth.be.sec.intl.miui.com,*,android
weatherapi.market.xiaomi.com,*,android
resolver.msg.xiaomi.net,*,android
app.chat.global.xiaomi.net,*,android
au.ff.avast.sec.miui.com,*,android